# trial,instr,stim,isi,response,accuracy,rt,instr_onset,stim_onset,resp_onset
0.00,3.00,2.00,7.00,1.00,1.00,402.00,99.00,1223.00,1424.00
1.00,0.00,3.00,4.00,2.00,0.00,290.00,99.00,1148.00,1293.00
2.00,2.00,1.00,3.00,3.00,1.00,172.00,99.00,1123.00,1209.00
3.00,2.00,2.00,7.00,2.00,1.00,376.00,99.00,1223.00,1411.00
4.00,0.00,2.00,10.00,0.00,1.00,298.00,99.00,1298.00,1447.00
5.00,2.00,3.00,7.00,3.00,1.00,412.00,99.00,1223.00,1429.00
6.00,0.00,2.00,5.00,0.00,1.00,328.00,99.00,1173.00,1337.00
7.00,2.00,1.00,4.00,3.00,1.00,218.00,99.00,1148.00,1257.00
8.00,2.00,2.00,7.00,2.00,1.00,306.00,99.00,1223.00,1376.00
9.00,0.00,0.00,5.00,0.00,1.00,170.00,99.00,1173.00,1258.00
10.00,1.00,1.00,0.00,3.00,1.00,160.00,99.00,1048.00,1128.00
11.00,3.00,1.00,3.00,1.00,1.00,182.00,99.00,1123.00,1214.00
12.00,3.00,2.00,1.00,1.00,1.00,406.00,99.00,1073.00,1276.00
13.00,3.00,0.00,7.00,0.00,1.00,184.00,99.00,1223.00,1315.00
14.00,1.00,2.00,2.00,3.00,1.00,302.00,99.00,1098.00,1249.00
15.00,0.00,0.00,0.00,0.00,1.00,184.00,99.00,1048.00,1140.00
16.00,2.00,0.00,2.00,0.00,0.00,182.00,99.00,1098.00,1189.00
17.00,3.00,3.00,1.00,0.00,1.00,274.00,99.00,1073.00,1210.00
18.00,1.00,3.00,7.00,2.00,1.00,396.00,99.00,1223.00,1421.00
19.00,0.00,1.00,10.00,1.00,1.00,130.00,99.00,1298.00,1363.00
20.00,2.00,0.00,8.00,0.00,0.00,298.00,99.00,1248.00,1397.00
21.00,0.00,1.00,5.00,3.00,0.00,228.00,99.00,1173.00,1287.00
22.00,1.00,3.00,4.00,2.00,1.00,508.00,99.00,1148.00,1402.00
23.00,2.00,0.00,3.00,2.00,1.00,286.00,99.00,1123.00,1266.00
24.00,1.00,2.00,5.00,3.00,1.00,348.00,99.00,1173.00,1347.00
25.00,3.00,1.00,2.00,3.00,0.00,218.00,99.00,1098.00,1207.00
26.00,0.00,0.00,4.00,0.00,1.00,156.00,99.00,1148.00,1226.00
27.00,3.00,2.00,5.00,1.00,1.00,348.00,99.00,1173.00,1347.00
28.00,3.00,1.00,2.00,3.00,0.00,212.00,99.00,1098.00,1204.00
29.00,0.00,3.00,8.00,1.00,1.00,234.00,99.00,1248.00,1365.00
30.00,1.00,1.00,6.00,3.00,1.00,258.00,99.00,1198.00,1327.00
31.00,3.00,2.00,10.00,1.00,1.00,246.00,99.00,1298.00,1421.00
32.00,2.00,2.00,4.00,2.00,1.00,290.00,99.00,1148.00,1293.00
33.00,2.00,1.00,5.00,3.00,1.00,282.00,99.00,1173.00,1314.00
34.00,0.00,3.00,3.00,2.00,0.00,328.00,99.00,1123.00,1287.00
35.00,1.00,1.00,8.00,3.00,1.00,162.00,99.00,1248.00,1329.00
36.00,0.00,3.00,4.00,1.00,1.00,454.00,99.00,1148.00,1375.00
37.00,0.00,1.00,5.00,3.00,0.00,188.00,99.00,1173.00,1267.00
38.00,3.00,2.00,2.00,1.00,1.00,332.00,99.00,1098.00,1264.00
39.00,0.00,0.00,1.00,0.00,1.00,144.00,99.00,1073.00,1145.00
40.00,2.00,1.00,4.00,1.00,0.00,278.00,99.00,1148.00,1287.00
41.00,0.00,1.00,3.00,3.00,0.00,216.00,99.00,1123.00,1231.00
42.00,3.00,2.00,4.00,1.00,1.00,370.00,99.00,1148.00,1333.00
43.00,0.00,2.00,0.00,0.00,1.00,436.00,99.00,1048.00,1266.00
44.00,2.00,3.00,1.00,3.00,1.00,306.00,99.00,1073.00,1226.00
45.00,2.00,3.00,2.00,3.00,1.00,324.00,99.00,1098.00,1260.00
46.00,3.00,2.00,10.00,1.00,1.00,414.00,99.00,1298.00,1505.00
47.00,0.00,3.00,9.00,3.00,0.00,440.00,99.00,1273.00,1493.00
48.00,1.00,2.00,9.00,0.00,0.00,554.00,99.00,1273.00,1550.00
49.00,3.00,3.00,8.00,0.00,1.00,308.00,99.00,1248.00,1402.00
50.00,2.00,1.00,9.00,3.00,1.00,190.00,99.00,1273.00,1368.00
51.00,1.00,1.00,2.00,3.00,1.00,266.00,99.00,1098.00,1231.00
52.00,0.00,1.00,6.00,1.00,1.00,160.00,99.00,1198.00,1278.00
53.00,0.00,3.00,5.00,1.00,1.00,420.00,99.00,1173.00,1383.00
54.00,3.00,3.00,5.00,0.00,1.00,302.00,99.00,1173.00,1324.00
55.00,0.00,3.00,1.00,1.00,1.00,316.00,99.00,1073.00,1231.00
56.00,0.00,2.00,3.00,0.00,1.00,324.00,99.00,1123.00,1285.00
57.00,1.00,2.00,10.00,3.00,1.00,498.00,99.00,1298.00,1547.00
58.00,1.00,2.00,4.00,3.00,1.00,658.00,99.00,1148.00,1477.00
59.00,2.00,1.00,1.00,3.00,1.00,240.00,99.00,1073.00,1193.00
60.00,3.00,1.00,6.00,1.00,1.00,128.00,99.00,1198.00,1262.00
