# trial,instr,stim,isi,response,accuracy,rt,instr_onset,stim_onset,resp_onset
0.00,1.00,1.00,1.00,3.00,1.00,112.00,99.00,1073.00,1129.00
1.00,2.00,1.00,5.00,3.00,1.00,140.00,99.00,1173.00,1243.00
2.00,1.00,0.00,8.00,2.00,1.00,112.00,99.00,1248.00,1304.00
3.00,3.00,2.00,10.00,1.00,1.00,244.00,99.00,1298.00,1420.00
4.00,2.00,0.00,8.00,2.00,1.00,110.00,99.00,1248.00,1303.00
5.00,3.00,1.00,4.00,1.00,1.00,152.00,99.00,1148.00,1224.00
6.00,2.00,0.00,2.00,2.00,1.00,152.00,99.00,1098.00,1174.00
7.00,2.00,0.00,5.00,2.00,1.00,116.00,99.00,1173.00,1231.00
8.00,3.00,1.00,6.00,1.00,1.00,118.00,99.00,1198.00,1257.00
9.00,3.00,2.00,4.00,1.00,1.00,226.00,99.00,1148.00,1261.00
10.00,1.00,3.00,0.00,2.00,1.00,238.00,99.00,1048.00,1167.00
11.00,1.00,2.00,4.00,3.00,1.00,188.00,99.00,1148.00,1242.00
12.00,2.00,0.00,6.00,2.00,1.00,134.00,99.00,1198.00,1265.00
13.00,3.00,1.00,9.00,1.00,1.00,128.00,99.00,1273.00,1337.00
14.00,3.00,3.00,1.00,3.00,0.00,298.00,99.00,1073.00,1222.00
15.00,1.00,3.00,8.00,2.00,1.00,170.00,99.00,1248.00,1333.00
16.00,3.00,3.00,3.00,0.00,1.00,266.00,99.00,1123.00,1256.00
17.00,1.00,1.00,6.00,1.00,0.00,174.00,99.00,1198.00,1285.00
18.00,1.00,3.00,6.00,2.00,1.00,266.00,99.00,1198.00,1331.00
19.00,2.00,3.00,7.00,3.00,1.00,214.00,99.00,1223.00,1330.00
20.00,0.00,0.00,2.00,0.00,1.00,118.00,99.00,1098.00,1157.00
21.00,3.00,0.00,8.00,0.00,1.00,102.00,99.00,1248.00,1299.00
22.00,2.00,2.00,3.00,2.00,1.00,148.00,99.00,1123.00,1197.00
23.00,2.00,0.00,8.00,0.00,0.00,158.00,99.00,1248.00,1327.00
24.00,2.00,2.00,4.00,2.00,1.00,316.00,99.00,1148.00,1306.00
25.00,0.00,1.00,4.00,1.00,1.00,110.00,99.00,1148.00,1203.00
26.00,2.00,1.00,2.00,3.00,1.00,120.00,99.00,1098.00,1158.00
27.00,0.00,2.00,6.00,0.00,1.00,194.00,99.00,1198.00,1295.00
28.00,3.00,3.00,4.00,0.00,1.00,206.00,99.00,1148.00,1251.00
29.00,1.00,2.00,6.00,1.00,0.00,334.00,99.00,1198.00,1365.00
30.00,3.00,3.00,3.00,0.00,1.00,274.00,99.00,1123.00,1260.00
31.00,0.00,3.00,0.00,1.00,1.00,270.00,99.00,1048.00,1183.00
32.00,1.00,0.00,7.00,2.00,1.00,134.00,99.00,1223.00,1290.00
