# trial,instr,stim,isi,response,accuracy,rt,instr_onset,stim_onset,resp_onset
0.00,1.00,3.00,5.00,2.00,1.00,196.00,99.00,1173.00,1271.00
1.00,3.00,2.00,9.00,1.00,1.00,254.00,99.00,1273.00,1400.00
2.00,3.00,3.00,9.00,0.00,1.00,268.00,99.00,1273.00,1407.00
3.00,0.00,0.00,8.00,0.00,1.00,148.00,99.00,1248.00,1322.00
4.00,1.00,2.00,8.00,3.00,1.00,250.00,99.00,1248.00,1373.00
5.00,1.00,2.00,3.00,3.00,1.00,294.00,99.00,1123.00,1270.00
6.00,2.00,0.00,0.00,2.00,1.00,142.00,99.00,1048.00,1119.00
7.00,0.00,1.00,9.00,1.00,1.00,122.00,99.00,1273.00,1334.00
8.00,1.00,3.00,7.00,2.00,1.00,228.00,99.00,1223.00,1337.00
9.00,3.00,1.00,5.00,1.00,1.00,148.00,99.00,1173.00,1247.00
10.00,2.00,2.00,9.00,2.00,1.00,262.00,99.00,1273.00,1404.00
11.00,3.00,3.00,0.00,0.00,1.00,264.00,99.00,1048.00,1180.00
12.00,1.00,3.00,2.00,2.00,1.00,208.00,99.00,1098.00,1202.00
13.00,0.00,0.00,5.00,0.00,1.00,138.00,99.00,1173.00,1242.00
14.00,2.00,3.00,8.00,3.00,1.00,154.00,99.00,1248.00,1325.00
15.00,1.00,1.00,5.00,3.00,1.00,138.00,99.00,1173.00,1242.00
16.00,0.00,0.00,3.00,0.00,1.00,142.00,99.00,1123.00,1194.00
17.00,1.00,2.00,6.00,3.00,1.00,282.00,99.00,1198.00,1339.00
18.00,3.00,2.00,7.00,1.00,1.00,362.00,99.00,1223.00,1404.00
19.00,3.00,3.00,8.00,0.00,1.00,318.00,99.00,1248.00,1407.00
20.00,3.00,1.00,0.00,3.00,0.00,152.00,99.00,1048.00,1124.00
21.00,3.00,1.00,0.00,1.00,1.00,162.00,99.00,1048.00,1129.00
22.00,0.00,1.00,9.00,1.00,1.00,160.00,99.00,1273.00,1353.00
23.00,3.00,3.00,10.00,3.00,0.00,276.00,99.00,1298.00,1436.00
24.00,0.00,3.00,8.00,1.00,1.00,322.00,99.00,1248.00,1409.00
25.00,0.00,3.00,9.00,1.00,1.00,240.00,99.00,1273.00,1393.00
26.00,3.00,0.00,6.00,2.00,0.00,144.00,99.00,1198.00,1270.00
27.00,3.00,0.00,7.00,0.00,1.00,116.00,99.00,1223.00,1281.00
28.00,3.00,3.00,2.00,0.00,1.00,258.00,99.00,1098.00,1227.00
29.00,0.00,2.00,1.00,0.00,1.00,218.00,99.00,1073.00,1182.00
30.00,0.00,1.00,7.00,1.00,1.00,162.00,99.00,1223.00,1304.00
31.00,1.00,1.00,3.00,3.00,1.00,146.00,99.00,1123.00,1196.00
