# trial,instr,stim,isi,response,accuracy,rt,instr_onset,stim_onset,resp_onset
0.00,0.00,3.00,3.00,0.00,0.00,498.00,99.00,1123.00,1372.00
1.00,1.00,0.00,8.00,2.00,1.00,182.00,99.00,1248.00,1339.00
2.00,3.00,1.00,2.00,3.00,0.00,260.00,99.00,1098.00,1228.00
3.00,2.00,2.00,6.00,1.00,0.00,548.00,99.00,1198.00,1472.00
4.00,0.00,3.00,10.00,0.00,0.00,440.00,99.00,1298.00,1518.00
5.00,3.00,1.00,5.00,1.00,1.00,242.00,99.00,1173.00,1294.00
6.00,2.00,2.00,1.00,2.00,1.00,406.00,99.00,1073.00,1276.00
7.00,0.00,3.00,1.00,0.00,0.00,522.00,99.00,1073.00,1334.00
8.00,1.00,1.00,8.00,1.00,0.00,254.00,99.00,1248.00,1375.00
9.00,0.00,0.00,4.00,2.00,0.00,240.00,99.00,1148.00,1268.00
10.00,1.00,2.00,9.00,2.00,0.00,486.00,99.00,1273.00,1516.00
11.00,0.00,2.00,9.00,0.00,1.00,360.00,99.00,1273.00,1453.00
12.00,3.00,2.00,0.00,3.00,0.00,358.00,99.00,1048.00,1227.00
13.00,3.00,2.00,3.00,3.00,0.00,362.00,99.00,1123.00,1304.00
14.00,2.00,2.00,4.00,2.00,1.00,444.00,99.00,1148.00,1370.00
15.00,3.00,2.00,5.00,1.00,1.00,490.00,99.00,1173.00,1418.00
16.00,0.00,3.00,0.00,0.00,0.00,416.00,99.00,1048.00,1256.00
17.00,0.00,2.00,7.00,1.00,0.00,518.00,99.00,1223.00,1482.00
18.00,0.00,1.00,4.00,3.00,0.00,278.00,99.00,1148.00,1287.00
19.00,2.00,3.00,0.00,1.00,0.00,454.00,99.00,1048.00,1275.00
20.00,3.00,3.00,4.00,1.00,0.00,412.00,99.00,1148.00,1354.00
21.00,2.00,3.00,8.00,3.00,1.00,476.00,99.00,1248.00,1486.00
22.00,0.00,3.00,6.00,0.00,0.00,428.00,99.00,1198.00,1412.00
23.00,1.00,3.00,5.00,2.00,1.00,446.00,99.00,1173.00,1396.00
24.00,3.00,0.00,9.00,0.00,1.00,228.00,99.00,1273.00,1387.00
25.00,2.00,0.00,2.00,0.00,0.00,234.00,99.00,1098.00,1215.00
26.00,1.00,0.00,10.00,0.00,0.00,262.00,99.00,1298.00,1429.00
27.00,1.00,3.00,10.00,1.00,0.00,428.00,99.00,1298.00,1512.00
28.00,0.00,0.00,3.00,0.00,1.00,218.00,99.00,1123.00,1232.00
29.00,2.00,1.00,1.00,3.00,1.00,190.00,99.00,1073.00,1168.00
30.00,1.00,3.00,0.00,2.00,1.00,538.00,99.00,1048.00,1317.00
31.00,0.00,3.00,0.00,0.00,0.00,532.00,99.00,1048.00,1314.00
32.00,0.00,1.00,6.00,3.00,0.00,224.00,99.00,1198.00,1310.00
33.00,2.00,2.00,8.00,3.00,0.00,468.00,99.00,1248.00,1482.00
34.00,0.00,2.00,2.00,3.00,0.00,498.00,99.00,1098.00,1347.00
35.00,2.00,0.00,2.00,0.00,0.00,252.00,99.00,1098.00,1224.00
36.00,0.00,3.00,9.00,1.00,1.00,368.00,99.00,1273.00,1457.00
37.00,1.00,1.00,5.00,3.00,1.00,248.00,99.00,1173.00,1297.00
38.00,2.00,0.00,3.00,2.00,1.00,190.00,99.00,1123.00,1218.00
39.00,2.00,0.00,4.00,2.00,1.00,238.00,99.00,1148.00,1267.00
40.00,2.00,2.00,1.00,1.00,0.00,526.00,99.00,1073.00,1336.00
41.00,3.00,0.00,8.00,0.00,1.00,232.00,99.00,1248.00,1364.00
42.00,0.00,0.00,0.00,0.00,1.00,206.00,99.00,1048.00,1151.00
43.00,0.00,2.00,5.00,2.00,0.00,466.00,99.00,1173.00,1406.00
44.00,2.00,3.00,5.00,3.00,1.00,280.00,99.00,1173.00,1313.00
45.00,2.00,2.00,5.00,2.00,1.00,426.00,99.00,1173.00,1386.00
46.00,3.00,0.00,6.00,2.00,0.00,234.00,99.00,1198.00,1315.00
47.00,0.00,1.00,5.00,3.00,0.00,244.00,99.00,1173.00,1295.00
48.00,2.00,3.00,2.00,2.00,0.00,504.00,99.00,1098.00,1350.00
49.00,0.00,3.00,7.00,2.00,0.00,374.00,99.00,1223.00,1410.00
50.00,0.00,3.00,7.00,0.00,0.00,370.00,99.00,1223.00,1408.00
51.00,3.00,0.00,0.00,0.00,1.00,260.00,99.00,1048.00,1178.00
52.00,3.00,2.00,1.00,2.00,0.00,382.00,99.00,1073.00,1264.00
53.00,0.00,2.00,5.00,0.00,1.00,336.00,99.00,1173.00,1341.00
54.00,1.00,2.00,6.00,1.00,0.00,476.00,99.00,1198.00,1436.00
55.00,2.00,0.00,9.00,0.00,0.00,246.00,99.00,1273.00,1396.00
56.00,3.00,1.00,1.00,1.00,1.00,248.00,99.00,1073.00,1197.00
57.00,1.00,0.00,1.00,2.00,1.00,220.00,99.00,1073.00,1183.00
58.00,1.00,3.00,4.00,0.00,0.00,414.00,99.00,1148.00,1355.00
59.00,2.00,2.00,4.00,0.00,0.00,428.00,99.00,1148.00,1362.00
60.00,0.00,3.00,4.00,1.00,1.00,428.00,99.00,1148.00,1362.00
61.00,3.00,2.00,9.00,1.00,1.00,440.00,99.00,1273.00,1493.00
62.00,1.00,3.00,10.00,3.00,0.00,612.00,99.00,1298.00,1604.00
63.00,2.00,2.00,4.00,3.00,0.00,468.00,99.00,1148.00,1382.00
64.00,0.00,0.00,6.00,0.00,1.00,276.00,99.00,1198.00,1336.00
65.00,1.00,2.00,7.00,1.00,0.00,440.00,99.00,1223.00,1443.00
66.00,1.00,0.00,7.00,0.00,0.00,292.00,99.00,1223.00,1369.00
67.00,3.00,1.00,7.00,3.00,0.00,278.00,99.00,1223.00,1362.00
68.00,2.00,1.00,3.00,3.00,1.00,184.00,99.00,1123.00,1215.00
69.00,0.00,2.00,8.00,2.00,0.00,466.00,99.00,1248.00,1481.00
70.00,0.00,1.00,2.00,1.00,1.00,226.00,99.00,1098.00,1211.00
71.00,2.00,3.00,5.00,0.00,0.00,530.00,99.00,1173.00,1438.00
72.00,2.00,1.00,8.00,1.00,0.00,254.00,99.00,1248.00,1375.00
73.00,2.00,1.00,5.00,3.00,1.00,220.00,99.00,1173.00,1283.00
74.00,2.00,0.00,5.00,0.00,0.00,282.00,99.00,1173.00,1314.00
75.00,3.00,3.00,10.00,2.00,0.00,420.00,99.00,1298.00,1508.00
76.00,1.00,2.00,6.00,2.00,0.00,464.00,99.00,1198.00,1430.00
77.00,0.00,1.00,2.00,1.00,1.00,254.00,99.00,1098.00,1225.00
78.00,2.00,1.00,9.00,1.00,0.00,238.00,99.00,1273.00,1392.00
79.00,1.00,2.00,5.00,3.00,1.00,308.00,99.00,1173.00,1327.00
80.00,2.00,0.00,6.00,0.00,0.00,252.00,99.00,1198.00,1324.00
81.00,1.00,3.00,6.00,2.00,1.00,606.00,99.00,1198.00,1501.00
82.00,2.00,1.00,6.00,3.00,1.00,194.00,99.00,1198.00,1295.00
83.00,1.00,3.00,9.00,1.00,0.00,476.00,99.00,1273.00,1511.00
84.00,2.00,2.00,3.00,1.00,0.00,402.00,99.00,1123.00,1324.00
85.00,2.00,2.00,3.00,0.00,0.00,344.00,99.00,1123.00,1295.00
86.00,1.00,1.00,0.00,3.00,1.00,242.00,99.00,1048.00,1169.00
87.00,3.00,3.00,3.00,3.00,0.00,490.00,99.00,1123.00,1368.00
88.00,1.00,3.00,4.00,2.00,1.00,526.00,99.00,1148.00,1411.00
89.00,0.00,2.00,3.00,1.00,0.00,484.00,99.00,1123.00,1365.00
90.00,1.00,0.00,7.00,0.00,0.00,258.00,99.00,1223.00,1352.00
91.00,1.00,2.00,5.00,3.00,1.00,408.00,99.00,1173.00,1377.00
92.00,1.00,1.00,10.00,3.00,1.00,256.00,99.00,1298.00,1426.00
93.00,3.00,3.00,3.00,1.00,0.00,382.00,99.00,1123.00,1314.00
94.00,3.00,2.00,10.00,1.00,1.00,646.00,99.00,1298.00,1621.00
95.00,1.00,1.00,5.00,3.00,1.00,162.00,99.00,1173.00,1254.00
96.00,3.00,2.00,6.00,1.00,1.00,420.00,99.00,1198.00,1408.00
97.00,2.00,2.00,2.00,0.00,0.00,460.00,99.00,1098.00,1328.00
98.00,3.00,2.00,0.00,1.00,1.00,508.00,99.00,1048.00,1302.00
99.00,1.00,2.00,10.00,1.00,0.00,482.00,99.00,1298.00,1539.00
100.00,3.00,3.00,0.00,1.00,0.00,466.00,99.00,1048.00,1281.00
101.00,0.00,3.00,7.00,1.00,1.00,572.00,99.00,1223.00,1509.00
102.00,0.00,2.00,2.00,0.00,1.00,448.00,99.00,1098.00,1322.00
103.00,2.00,1.00,10.00,1.00,0.00,244.00,99.00,1298.00,1420.00
104.00,2.00,3.00,10.00,3.00,1.00,684.00,99.00,1298.00,1640.00
105.00,2.00,1.00,5.00,3.00,1.00,210.00,99.00,1173.00,1278.00
106.00,2.00,1.00,6.00,3.00,1.00,272.00,99.00,1198.00,1334.00
107.00,2.00,1.00,3.00,1.00,0.00,278.00,99.00,1123.00,1262.00
108.00,1.00,3.00,4.00,2.00,1.00,410.00,99.00,1148.00,1353.00
109.00,3.00,3.00,8.00,3.00,0.00,454.00,99.00,1248.00,1475.00
