# trial,instr,stim,isi,response,accuracy,rt,instr_onset,stim_onset,resp_onset
0.00,0.00,1.00,0.00,3.00,0.00,224.00,99.00,1048.00,1160.00
1.00,3.00,3.00,4.00,0.00,1.00,434.00,99.00,1148.00,1365.00
2.00,1.00,2.00,1.00,0.00,0.00,448.00,99.00,1073.00,1297.00
3.00,0.00,2.00,4.00,2.00,0.00,348.00,99.00,1148.00,1322.00
4.00,0.00,3.00,3.00,3.00,0.00,334.00,99.00,1123.00,1290.00
5.00,0.00,3.00,2.00,1.00,1.00,386.00,99.00,1098.00,1291.00
6.00,1.00,0.00,7.00,0.00,0.00,180.00,99.00,1223.00,1313.00
7.00,2.00,3.00,1.00,3.00,1.00,388.00,99.00,1073.00,1267.00
8.00,3.00,1.00,9.00,3.00,0.00,218.00,99.00,1273.00,1382.00
9.00,1.00,2.00,7.00,2.00,0.00,368.00,99.00,1223.00,1407.00
10.00,0.00,1.00,5.00,1.00,1.00,176.00,99.00,1173.00,1261.00
11.00,3.00,1.00,1.00,1.00,1.00,120.00,99.00,1073.00,1133.00
12.00,0.00,3.00,5.00,1.00,1.00,260.00,99.00,1173.00,1303.00
13.00,3.00,0.00,8.00,2.00,0.00,200.00,99.00,1248.00,1348.00
14.00,3.00,0.00,7.00,2.00,0.00,194.00,99.00,1223.00,1320.00
15.00,2.00,2.00,5.00,2.00,1.00,296.00,99.00,1173.00,1321.00
16.00,1.00,2.00,1.00,3.00,1.00,266.00,99.00,1073.00,1206.00
17.00,1.00,1.00,1.00,1.00,0.00,200.00,99.00,1073.00,1173.00
18.00,3.00,0.00,7.00,0.00,1.00,174.00,99.00,1223.00,1310.00
19.00,2.00,3.00,3.00,3.00,1.00,314.00,99.00,1123.00,1280.00
20.00,3.00,1.00,0.00,3.00,0.00,194.00,99.00,1048.00,1145.00
21.00,0.00,3.00,9.00,1.00,1.00,414.00,99.00,1273.00,1480.00
22.00,2.00,2.00,9.00,2.00,1.00,376.00,99.00,1273.00,1461.00
23.00,1.00,2.00,1.00,3.00,1.00,384.00,99.00,1073.00,1265.00
24.00,1.00,0.00,3.00,0.00,0.00,196.00,99.00,1123.00,1221.00
25.00,0.00,2.00,3.00,1.00,0.00,348.00,99.00,1123.00,1297.00
26.00,1.00,3.00,10.00,1.00,0.00,350.00,99.00,1298.00,1473.00
27.00,2.00,0.00,6.00,0.00,0.00,186.00,99.00,1198.00,1291.00
28.00,0.00,2.00,1.00,0.00,1.00,574.00,99.00,1073.00,1360.00
29.00,0.00,3.00,8.00,1.00,1.00,316.00,99.00,1248.00,1406.00
30.00,2.00,1.00,8.00,3.00,1.00,196.00,99.00,1248.00,1346.00
31.00,0.00,3.00,6.00,2.00,0.00,432.00,99.00,1198.00,1414.00
32.00,2.00,1.00,6.00,3.00,1.00,176.00,99.00,1198.00,1286.00
33.00,3.00,0.00,5.00,0.00,1.00,222.00,99.00,1173.00,1284.00
34.00,2.00,0.00,8.00,2.00,1.00,200.00,99.00,1248.00,1348.00
35.00,1.00,1.00,7.00,1.00,0.00,176.00,99.00,1223.00,1311.00
36.00,3.00,3.00,5.00,0.00,1.00,348.00,99.00,1173.00,1347.00
