subject,rt_instr0,acc_instr0,a_instr0,v_instr0,t_instr0,mfc_instr0,thres_instr0,eeg_instr0,mfc2_instr0,thres2_instr0,gd2_instr0,error2_instr0
24,0.45031,0.76433121,0.63522479,1.8522165,0.37625684,3.33875448846862,4.87504411269346,6.47033120765872,3.69751040466289,4.87602560212225,2.47070704417448,24540.5381816618
31,0.41735,0.83916084,0.64621748,2.55641109,0.34591296,3.98593866220503,4.78903447876777,5.60159552807182,4.6380437604305,5.29685721825676,2.7767934335793,26723.104057257
28,0.56748,0.71755725,0.64937197,1.43581324,0.45819301,3.12321944422491,4.75480876944177,5.53879169306207,3.09035801513949,4.5741090882327,2.46901985693137,29515.4788978519
6,0.487855,0.73076923,0.66757722,1.49575031,0.40155885,3.69155101785561,4.88919795252692,5.68972366089929,,,,
16,0.54747,0.7890625,0.72944916,1.8086026,0.42407841,3.23010424128266,4.79156830672645,6.23625350883189,,,,
0,0.532535,0.78571429,0.67471723,1.92567037,0.43553615,3.1358055085872,4.65379842468636,5.76232591360402,,,,
14,0.461945,0.75,0.66216873,1.65911231,0.37196222,3.20764459196992,4.72254239304607,6.07964020072525,,,,
21,0.515175,0.83064516,0.68721707,2.31397999,0.42429028,3.30487129973474,4.76654065829778,6.56315976401405,,,,
5,0.513245,0.88333333,0.69028628,2.93266987,0.43341918,3.03714399387411,4.71347665858214,5.7750447612422,3.05803792417052,5.87384724322438,1.77423447610733,
1,0.5347,0.95192308,0.76509419,3.90237174,0.4474144,3.52013155310131,4.71800366017309,6.09623404963918,,,,
11,0.416255,0.68461538,0.64858667,1.19500499,0.3214353,3.57457310256236,4.56683999828351,6.04962980229989,,,,
12,0.53147,0.85271318,0.69872236,2.51321767,0.42659802,3.31602035831307,4.30497041602487,5.98119285623139,,,,
13,0.45314,0.71969697,0.61913241,1.52303282,0.37537941,3.50091140467389,4.82195747944804,5.63367748387719,,,,
15,0.53557,0.6173913,0.65713995,0.72814055,0.42048109,3.19521795628176,4.93291295782523,5.66294970081334,,,,
18,0.495185,0.6626506,0.64658928,1.04413836,0.3971204,3.23656601040683,4.86566844463708,5.8313480436645,6.25057754218836,5.26810168376394,4.83776111505594,26954.6575575652
19,0.6640625,0.4103,0.63601461,1.07143945,0.3260509,3.13391243330078,4.88951540467088,5.59676280605241,,,,
2,0.47048,0.86904762,0.73055341,2.59058976,0.37968715,3.88658093861649,4.91815031849781,6.11708935551555,7.62186745406101,5.06240759990789,5.3989137414021,31681.6547376578
20,0.50595,0.78787879,0.72960559,1.79848729,0.38802948,3.62897142914528,4.7906811882119,6.34942912744886,,,,
26,0.467435,0.82692308,0.58107443,2.69152361,0.3963787,4.29896688699702,4.9724095143935,5.76270649222284,5.10912429308047,5.21094519331612,2.33759450284529,29014.9567981402
3,0.54722,0.85365854,0.65121989,2.70813071,0.46365415,3.27554028651893,4.86404451401803,6.18012029335931,6.35198791387693,5.07249219470116,5.28295911647228,33533.5155630992
29,0.55763,0.74285714,0.7172954,1.47898895,0.42708021,3.51797496784871,4.62208925379413,6.56283647752722,3.6503040970911,5.04213719627709,4.00660088089425,
30,0.52256,0.76146789,0.58127343,1.99689855,0.44431752,4.37137975137739,4.83645437849757,6.10800089280231,3.42526422085462,5.35346977600972,2.45978550718956,28986.0499427549
8,0.47872,0.72477064,0.67697711,1.43025585,0.37831036,4.05679582747541,4.093337737007,5.8783681667414,3.80284355849944,5.41434316595933,1.93682143650774,440558.738100533
