/usr/local/lib/python3.6/dist-packages/ipykernel_launcher.py:22: VisibleDeprecationWarning: Passing `normed=True` on non-uniform bins has always been broken, and computes neither the probability density function nor the probability mass function. The result is only correct if the bins are uniform, when density=True will produce the same result anyway. The argument will be removed in a future version of numpy.
/usr/local/lib/python3.6/dist-packages/ipykernel_launcher.py:23: VisibleDeprecationWarning: Passing `normed=True` on non-uniform bins has always been broken, and computes neither the probability density function nor the probability mass function. The result is only correct if the bins are uniform, when density=True will produce the same result anyway. The argument will be removed in a future version of numpy.

mfc: 5.6613946084103475, thres: 1.258181350537019, gd: 2, error: 110847.86941178536

/usr/local/lib/python3.6/dist-packages/ipykernel_launcher.py:22: VisibleDeprecationWarning: Passing `normed=True` on non-uniform bins has always been broken, and computes neither the probability density function nor the probability mass function. The result is only correct if the bins are uniform, when density=True will produce the same result anyway. The argument will be removed in a future version of numpy.
/usr/local/lib/python3.6/dist-packages/ipykernel_launcher.py:23: VisibleDeprecationWarning: Passing `normed=True` on non-uniform bins has always been broken, and computes neither the probability density function nor the probability mass function. The result is only correct if the bins are uniform, when density=True will produce the same result anyway. The argument will be removed in a future version of numpy.

mfc: 4.21295899982381, thres: 4.54230779833312, gd: 2, error: 35200.814110621744
mfc: 7.697421257551275, thres: 3.8987669785920653, gd: 2, error: 50931.651945437385
mfc: 8.717851909994753, thres: 3.765867335328075, gd: 2, error: 55757.51285950849
mfc: 3.623561579661752, thres: 3.231889746188801, gd: 2, error: 40291.71209687464
mfc: 4.042604686642352, thres: 2.6664339174514313, gd: 2, error: 46531.82333544375
mfc: 8.977275792235247, thres: 2.33849053331302, gd: 2, error: 67982.34704769835
mfc: 3.539065188084234, thres: 3.0151202912513986, gd: 2, error: 41916.44653054051
mfc: 5.188599561565358, thres: 1.983246023916599, gd: 2, error: 58254.31377747084
mfc: 5.877596980176433, thres: 3.3723070650380387, gd: 2, error: 47400.744961531316
mfc: 3.956919876648172, thres: 3.4199129176152563, gd: 2, error: 38952.67578263823
mfc: 6.3873360382737925, thres: 1.4821581397929258, gd: 2, error: 86366.6365754685
mfc: 4.7840052961865975, thres: 1.7570445346701558, gd: 2, error: 63453.00466565528
mfc: 7.899765441166384, thres: 4.775011815274185, gd: 2, error: 43800.83218154086
mfc: 3.056035753733044, thres: 1.0144256743360174, gd: 2, error: 144093.82587020512
mfc: 5.599391560684483, thres: 2.1340542287168645, gd: 2, error: 60719.88732467617
mfc: 4.583002406337126, thres: 3.6095441525148755, gd: 2, error: 39410.33422884209
mfc: 8.040131461895662, thres: 1.3721406350420686, gd: 2, error: 103005.80547123784
mfc: 8.535049159672823, thres: 1.5344449142166137, gd: 2, error: 88170.4365606819
mfc: 8.29312133582351, thres: 2.507959507082946, gd: 2, error: 63845.365046811916
mfc: 4.8745616645502325, thres: 4.993011003447755, gd: 2, error: 33237.38513944254
mfc: 6.80685141407901, thres: 2.312861432496355, gd: 2, error: 58610.3666619725
mfc: 7.357032109405061, thres: 1.8380677601777782, gd: 2, error: 73171.65721956705
mfc: 3.2800199445704994, thres: 2.9057053465824514, gd: 2, error: 40695.95101995504
mfc: 6.016850733028724, thres: 4.400271560052252, gd: 2, error: 39785.35670116133
mfc: 5.279700218731824, thres: 4.250674925395227, gd: 2, error: 39715.37705097775
